nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
1438,"BRONDESBURY PARK",524227,183953,"London Overground",,,,Yes,,2,-0.210000,51.540000
1439,"CALEDONIAN ROAD & BARNSBURY",530765,184374,"London Overground",,,,Yes,,2,-0.110000,51.540000
1440,"CAMDEN ROAD",529171,184178,"London Overground",,,,Yes,,2,-0.140000,51.540000
1441,CANONBURY,532384,185035,"London Overground",,,,Yes,,2,-0.090000,51.550000
1442,"CARPENDERS PARK",511833,193398,"London Overground",,,,Yes,,7,-0.380000,51.630000
1443,"DALSTON JUNCTION",533578,184692,"London Overground",,,,Yes,,2,-0.070000,51.540000
1444,"EUSTON NR",529608,182690,"London Overground",,,,Yes,,1,-0.130000,51.530000
1445,"FINCHLEY ROAD & FROGNAL",526063,185057,"London Overground",,,,Yes,,2,-0.180000,51.550000
1448,"KENSAL RISE",523578,183250,"London Overground",,,,Yes,,2,-0.220000,51.530000
1449,"KENTISH TOWN WEST",528597,184691,"London Overground",,,,Yes,,2,-0.150000,51.550000
1451,"SOUTH HAMPSTEAD",526369,184096,"London Overground",,,,Yes,,2,-0.180000,51.540000
1452,"SOUTH ACTON",520148,179250,"London Overground",,,,Yes,,3,-0.270000,51.500000
